127.0.0.1 - - [24/Apr/2017:10:07:27 +0900] "GET / HTTP/1.1" 404 1070
127.0.0.1 - - [24/Apr/2017:10:07:30 +0900] "GET /ex1/ HTTP/1.1" 200 305
127.0.0.1 - - [24/Apr/2017:10:07:32 +0900] "GET /ex1/step1.do HTTP/1.1" 200 738
127.0.0.1 - - [24/Apr/2017:10:08:05 +0900] "GET /ex1 HTTP/1.1" 302 -
127.0.0.1 - - [24/Apr/2017:10:08:06 +0900] "GET /ex1/ HTTP/1.1" 200 305
127.0.0.1 - - [24/Apr/2017:10:08:07 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [24/Apr/2017:10:08:07 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [24/Apr/2017:10:08:07 +0900] "GET /ex1/step1.do HTTP/1.1" 200 738
127.0.0.1 - - [24/Apr/2017:10:11:22 +0900] "GET /ex1/ HTTP/1.1" 200 305
127.0.0.1 - - [24/Apr/2017:10:11:22 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [24/Apr/2017:10:11:22 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [24/Apr/2017:10:11:24 +0900] "GET /ex1/step1.do HTTP/1.1" 200 738
127.0.0.1 - - [24/Apr/2017:11:52:26 +0900] "GET /ex1/ HTTP/1.1" 200 305
127.0.0.1 - - [24/Apr/2017:11:52:26 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [24/Apr/2017:11:52:26 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [24/Apr/2017:11:52:26 +0900] "GET /ex1/step1.do HTTP/1.1" 200 738
127.0.0.1 - - [24/Apr/2017:11:52:28 +0900] "POST /ex1/login.do HTTP/1.1" 200 443
127.0.0.1 - - [24/Apr/2017:11:52:28 +0900] "GET /ex1/step3.do HTTP/1.1" 200 358
127.0.0.1 - - [24/Apr/2017:11:53:08 +0900] "GET /ex1/ HTTP/1.1" 200 305
127.0.0.1 - - [24/Apr/2017:11:53:09 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [24/Apr/2017:11:53:09 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [24/Apr/2017:11:53:09 +0900] "GET /ex1/step1.do HTTP/1.1" 200 738
127.0.0.1 - - [24/Apr/2017:11:53:10 +0900] "POST /ex1/login.do HTTP/1.1" 200 443
127.0.0.1 - - [24/Apr/2017:11:53:10 +0900] "GET /ex1/step3.do HTTP/1.1" 200 358
127.0.0.1 - - [24/Apr/2017:11:57:13 +0900] "GET /ex1/ HTTP/1.1" 200 305
127.0.0.1 - - [24/Apr/2017:11:57:14 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [24/Apr/2017:11:57:14 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [24/Apr/2017:11:57:14 +0900] "GET /ex1/step1.do HTTP/1.1" 200 738
127.0.0.1 - - [24/Apr/2017:11:57:15 +0900] "POST /ex1/login.do HTTP/1.1" 200 443
127.0.0.1 - - [24/Apr/2017:11:57:15 +0900] "GET /ex1/step3.do HTTP/1.1" 200 358
127.0.0.1 - - [24/Apr/2017:14:14:56 +0900] "GET /ex1/ HTTP/1.1" 200 304
127.0.0.1 - - [24/Apr/2017:14:14:56 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [24/Apr/2017:14:14:56 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [24/Apr/2017:14:14:56 +0900] "GET /ex1/step1.do HTTP/1.1" 200 738
127.0.0.1 - - [24/Apr/2017:14:14:58 +0900] "POST /ex1/login.do HTTP/1.1" 200 443
127.0.0.1 - - [24/Apr/2017:14:14:58 +0900] "GET /ex1/step3.do HTTP/1.1" 200 358
